tweet,label
"RT @millersoto: Volví a ver #ElDebateDefinitivo.

A Fico, aunque siento que desaprovechó papayazos, lo vi bien. Sin odio y con tranquilidad…",1
"RT @honohenriquez: ""Una vez se van las democracias, no retornan. Miren lo que pasó en Venezuela y Nicaragua"" @FicoGutierrez Presidente #ElD…",1
"RT @PartidoMIRA: ""Se necesitan más liderazgos femeninos para el país"": @FicoGutierrez 

@PartidoMIRA, pionero en participación política de…",1
"RT @PartidoMIRA: #FedericoEsColombia #FicoEsCarácter:

""Me gusta dialogar con respeto. Y aquí hay personas de todos los sectores que yo res…",1
"RT @Nevil_22: En #ElDebateDefinitivo sale de nuevo Fico Gutierrez con el cuento trasnochado de ""nos vamos a volver como Venezuela"". Como un…",0
RT @MONYRODRIGUEZOF: Qué desespero oír a Fico. Es desastroso. Qué nivel de argumentación y de conocimiento tan bajo. #ElDebateDefinitivo,0
"RT @RevistaSemana: #ElDebateDefinitivo | Federico Gutiérrez: “Si hubo fraude, fue a favor del Pacto Histórico” https://t.co/IvGAZnNpby",0
"RT @aydeelizarazoc: #ElDebateDefinitivo | @FicoGutierrez propone para la salud:

✅Basarse en promoción y prevención
✅Vigilar cumplimento de…",1
RT @LauraMedinaRuiz: . @FicoGutierrez le asegura a los 18 millones de colombianos que han ahorrado toda su vida por su pensión que esa plat…,1
"RT @tobonsanin: A propósito #ElDebateDefinitivo, los invito a leer este hilo 🧵donde expongo por qué Fico Gutiérrez es la persona menos prep…",0
"RT @aydeelizarazoc: #FicoEsCarácter 🇨🇴🇨🇴🇨🇴

@FicoGutierrez garantizará seguridad alimentaria para niñas y niños de 0 a 5 años. También educ…",1
RT @cristian_vivas: Federico Gutiérrez también miente descaradamente cuando le recuerdan los vínculos de su secretario de seguridad con la…,0
"RT @VivianaCasasP1: #ElDebateDefinitivo
Fico demostró sus buena intención en las propuestas que presentó y sus ganas de unir al país. 💯% co…",1
"#MiVotoEsPorFICO
#FicoEsColombia
#SantandereanosConFICO
#ElDebateDefinitivo
@FicoGutierrez https://t.co/hYWStdPOoU",1
"#MiVotoEsPorFICO
#FicoEsColombia
#SantandereanosConFICO
#ElDebateDefinitivo
@FicoGutierrez https://t.co/3KAjSpgkUS",1
"RT @AnitaMar97: Por un cambio en los empleos!
#MiVotoEsPorFICO
#FicoEsColombia
#SantandereanosConFICO
#ElDebateDefinitivo
@FicoGutierrez ht…",1
"RT @EmilyAr30544115: Todas vamos a hacer parte del progreso continuo del País, vamos con Fico
#VotoPor
#YaEsSuficiente
#VanessaPregúnteleAF…",1
"RT @RafaelZuleta10: Yo este Domingo pondré mi aporte para una mejor Colombia
#VotoPor
#YaEsSuficiente
#VanessaPregúnteleAFico
#ElDebateDefi…",1
"RT @JaviGuacaneme: #YaEsSuficiente
Con mayor CINISMO, propio d un delincuente, @FicoGutierrez en #ElDebateDefinitivo le dice MENTIROSO a Pe…",0
"RT @JustoVa93871439: Yo este Domingo pondré mi aporte para una mejor Colombia
#VotoPor
#YaEsSuficiente
#VanessaPregúnteleAFico
#ElDebateDef…",1
"RT @SofiGelvezzz: Por seguridad social, económica y ambiental. 
#MiVotoEsPorFICO
#FicoEsColombia
#SantandereanosConFICO
#ElDebateDefinitivo…",1
"RT @Majoo2098: Por construcciones vis para los más necesitados!
#MiVotoEsPorFICO
#FicoEsColombia
#SantandereanosConFICO
#ElDebateDefinitivo…",1
"RT @ANIABELLO_R: Sin lugar a dudas el mejor candidato en #ElDebateDefinitivo es @FicoGutierrez 
Propuestas claras, sin divisiones ni odios…",1
"RT @PartidoMIRA: #ElDebateDefinitivo 📚 | #FicoEsCarácter

En minutos: Debate presidencial primera vuelta, Colombia 2022 🇨🇴

En el @PartidoM…",1
#MiVotoEsPorFICO #FicoEsColombia #SantandereanosConFICO #ElDebateDefinitivo https://t.co/GPhFpLIz5I,1
"RT @PartidoMIRA: #FedericoEsColombia propositiva y unida para beneficiar a los jóvenes con educación superior

#FicoEsCarácter para impulsa…",1
RT @LinaOsp1508: Con fico todos juntos  tendremos mejores oportunidades para emprender y salir adelante #ElDebateDefinitivo #FicoES emprend…,1
"RT @Majoo2098: #MiVotoEsPorFICO
#FicoEsColombia
#SantandereanosConFICO
#ElDebateDefinitivo
@FicoGutierrez https://t.co/Y664WKsIZH",1
"RT @dntmorales: #ElDebateDefinitivo | Definitivamente mi voto es por @FicoGutierrez.

Yo quiero un presidente que quiera dialogar, que quie…",1
RT @LinaOsp1508: #ElDebateDefinitivo fico dejó claro que su único propósito es sacar el país adelante #FicoUneAColombia #FicoEsDemocracia,1
"RT @aydeelizarazoc: #FedericoEsColombia 🇨🇴👍🗳

El Acuerdo Programático entre @PartidoMIRA y @FicoGutierrez, enfatiza en empleo y emprendimie…",1
"RT @AleCarr14504453: La ética y la moralidad que nos enseña Fico en el debate es Fascinante 
#MiVotoEsPorFICO 
#SantandereanosConFICO
#ElDe…",1
"RT @HarolNieto: Hagamos cuentas, con lo visto anoche en #ElDebateDefinitivo podemos decir q entre peinada y peinada a @FicoGutierrez  y @se…",0
"RT @aydeelizarazoc: #FedericoEsColombia:

Acerca del sistema electoral, el @PartidoMIRA es referente en propuestas de transparencia, como r…",1
"RT @OscrCastrillon: #ElDebateDefinitivo

@FicoGutierrez plantea trabajar con todos los sectores, diálogo permanente para llegar a acuerdos…",1
"RT @NathaliaBerrio: En #ElDebateDefinitivo #FicoEsCarácter: Sus propuestas, su respeto a las instituciones y el valor por la democracia. 
#…",1
"RT @Irreverendoos: Conclusión del #ElDebateDefinitivo:

Vicky Dávila no sabe de debates, Fajardo no sabe de matemáticas y Fico no sabe de e…",0
"RT @stivel_: #ElDebateDefinitivo que mamera escuchar hablar a Federico, no tiene nada más que opinar si no lo que decía duque en el 2018 #P…",0
"RT @aydeelizarazoc: #FicoEsCarácter para exponer a los colombianos las propuestas de empleo, bienestar social, defensa de instituciones y g…",1
"RT @susanamuhamad: Las acciones han hablado por sí solas @FicoGutierrez
#ElDebateDefinitivo https://t.co/DMoi07G9AQ",1
"RT @Margaritarosadf: No hay nivel para @petrogustavo en esos debates. Nada mejor que contrincantes con alta categoría intelectual y que, ad…",1
